region_major,region_minor,region_id
Africa,Eastern Africa,0
Africa,Middle Africa,1
Africa,Northern Africa,2
Africa,Southern Africa,3
Africa,Western Africa,4
Asia,Eastern Asia,5
Asia,South-Central Asia,6
Asia,South-Eastern Asia,7
Asia,Western Asia,8
Europe,Eastern Europe,9
Europe,Northern Europe,10
Europe,Southern Europe,11
Europe,Western Europe,12
Latin America and the Caribbean,Caribbean,13
Latin America and the Caribbean,Central America,14
Latin America and the Caribbean,South America,15
Northern America,Northern America,16
Oceania,Australia/New Zealand,17
Oceania,Melanesia,18
Oceania,Polynesia,19
