code,former_country
ABW,FALSE
AFG,FALSE
AGO,FALSE
AIA,FALSE
ALB,FALSE
AND,FALSE
ANT,FALSE
ARE,FALSE
ARG,FALSE
ARM,FALSE
ASM,FALSE
ATA,FALSE
ATF,FALSE
ATG,FALSE
AUS,FALSE
AUT,FALSE
AZE,FALSE
BDI,FALSE
BEL,FALSE
BEN,FALSE
BES,FALSE
BFA,FALSE
BGD,FALSE
BGR,FALSE
BHR,FALSE
BHS,FALSE
BIH,FALSE
BLM,FALSE
BLR,FALSE
BLZ,FALSE
BMU,FALSE
BOL,FALSE
BRA,FALSE
BRB,FALSE
BRN,FALSE
BTN,FALSE
BVT,FALSE
BWA,FALSE
CAF,FALSE
CAN,FALSE
CCK,FALSE
CHE,FALSE
CHL,FALSE
CHN,FALSE
CIV,FALSE
CMR,FALSE
COD,FALSE
COG,FALSE
COK,FALSE
COL,FALSE
COM,FALSE
CPV,FALSE
CRI,FALSE
CSK,FALSE
CUB,FALSE
CUW,FALSE
CXR,FALSE
CYM,FALSE
CYP,FALSE
CZE,FALSE
DDR,TRUE
DEU,FALSE
DJI,FALSE
DMA,FALSE
DNK,FALSE
DOM,FALSE
DZA,FALSE
ECU,FALSE
EGY,FALSE
ERI,FALSE
ESH,FALSE
ESP,FALSE
EST,FALSE
ETH,FALSE
FIN,FALSE
FJI,FALSE
FLK,FALSE
FRA,FALSE
FRO,FALSE
FSM,FALSE
GAB,FALSE
GBR,FALSE
GEO,FALSE
GHA,FALSE
GIB,FALSE
GIN,FALSE
GLP,FALSE
GMB,FALSE
GNB,FALSE
GNQ,FALSE
GRC,FALSE
GRD,FALSE
GRL,FALSE
GTM,FALSE
GUF,FALSE
GUM,FALSE
GUY,FALSE
HKG,FALSE
HMD,FALSE
HND,FALSE
HRV,FALSE
HTI,FALSE
HUN,FALSE
IDN,FALSE
IND,FALSE
IOT,FALSE
IRL,FALSE
IRN,FALSE
IRQ,FALSE
ISL,FALSE
ISR,FALSE
ITA,FALSE
JAM,FALSE
JOR,FALSE
JPN,FALSE
KAZ,FALSE
KEN,FALSE
KGZ,FALSE
KHM,FALSE
KIR,FALSE
KNA,FALSE
KOR,FALSE
KWT,FALSE
LAO,FALSE
LBN,FALSE
LBR,FALSE
LBY,FALSE
LCA,FALSE
LKA,FALSE
LSO,FALSE
LTU,FALSE
LUX,FALSE
LVA,FALSE
MAC,FALSE
MAR,FALSE
MDA,FALSE
MDG,FALSE
MDV,FALSE
MEX,FALSE
MHL,FALSE
MKD,FALSE
MLI,FALSE
MLT,FALSE
MMR,FALSE
MNE,FALSE
MNG,FALSE
MNP,FALSE
MOZ,FALSE
MRT,FALSE
MSR,FALSE
MTQ,FALSE
MUS,FALSE
MWI,FALSE
MYS,FALSE
MYT,FALSE
NAM,FALSE
NCL,FALSE
NER,FALSE
NFK,FALSE
NGA,FALSE
NIC,FALSE
NIU,FALSE
NLD,FALSE
NOR,FALSE
NPL,FALSE
NRU,FALSE
NZL,FALSE
OMN,FALSE
PAK,FALSE
PAN,FALSE
PCI,TRUE
PCN,FALSE
PCZ,FALSE
PER,FALSE
PHL,FALSE
PLW,FALSE
PNG,FALSE
POL,FALSE
PRK,FALSE
PRT,FALSE
PRY,FALSE
PSE,FALSE
PYF,FALSE
QAT,FALSE
REU,FALSE
ROU,FALSE
RUS,FALSE
RWA,FALSE
SAU,FALSE
SCG,FALSE
SDN,FALSE
SEN,FALSE
SGP,FALSE
SGS,FALSE
SHN,FALSE
SLB,FALSE
SLE,FALSE
SLV,FALSE
SMR,FALSE
SOM,FALSE
SPM,FALSE
SRB,FALSE
SSD,FALSE
STP,FALSE
SUN,TRUE
SUR,FALSE
SVK,FALSE
SVN,FALSE
SWE,FALSE
SWZ,FALSE
SXM,FALSE
SYC,FALSE
SYR,FALSE
TCA,FALSE
TCD,FALSE
TGO,FALSE
THA,FALSE
TJK,FALSE
TKL,FALSE
TKM,FALSE
TLS,FALSE
TON,FALSE
TTO,FALSE
TUN,FALSE
TUR,FALSE
TUV,FALSE
TZA,FALSE
UGA,FALSE
UKR,FALSE
UMI,FALSE
URY,FALSE
USA,FALSE
UZB,FALSE
VAT,FALSE
VCT,FALSE
VDR,TRUE
VEN,FALSE
VGB,FALSE
VIR,FALSE
VNM,FALSE
VUT,FALSE
WLF,FALSE
WSM,FALSE
YEM,FALSE
YMD,TRUE
YUG,FALSE
ZAF,FALSE
ZMB,FALSE
ZWE,FALSE
TWN,FALSE
ANS,FALSE
